Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_KillChallenger,57,171,4.02,6.9,3.2,6.1,170.0,17725,10805,110
Challenger,57,129,2.97,1.6,5.2,14.0,31.8,5377,7073,5
Challenger,54,763,1.92,4.7,5.3,5.4,193.9,21000,11046,299
Challenger,60,154,3.06,1.7,5.1,14.1,31.3,6044,7176,6
Challenger,59,118,2.45,8.0,6.5,7.8,212.1,21377,12500,118
Challenger,42,140,2.82,7.2,5.2,7.5,146.6,15252,10897,122
Challenger,55,102,2.41,4.6,6.6,11.3,88.8,17451,9195,42
Challenger,52,258,2.27,2.4,7.0,13.5,32.2,8089,7409,32
Challenger,53,167,2.61,5.9,4.4,5.7,211.6,22183,11912,98
Challenger,54,372,1.14,4.8,9.1,5.5,222.2,22289,12321,126
Grandmaster,57,620,2.25,7.6,6.0,5.9,183.3,18299,12098,688
Challenger,51,184,3.15,8.5,5.7,9.4,137.6,17965,11408,143
Challenger,52,82,2.08,7.1,6.4,6.3,204.3,19994,11848,70
Grandmaster,55,235,2.74,7.3,4.9,6.1,209.6,21477,12591,203
Challenger,49,138,1.55,5.5,6.6,4.8,198.5,20153,11326,69
Grandmaster,56,131,1.98,5.4,5.4,5.4,189.1,21524,11233,69
Challenger,50,709,2.52,9.4,6.4,6.8,175.8,24265,12802,889
Grandmaster,65,121,3.46,1.5,4.9,15.5,27.2,5539,7855,9
Challenger,57,659,4.23,9.5,3.8,6.5,157.8,21369,11392,557
Challenger,48,71,2.38,4.2,4.3,6.1,213.5,19559,12131,33
Grandmaster,61,471,2.38,7.0,5.8,6.8,186.7,22159,11613,493
Grandmaster,54,246,3.59,5.2,4.0,9.3,131.2,12334,9780,91
Grandmaster,53,141,3.14,8.1,4.9,7.2,182.4,19597,11654,115
Grandmaster,54,224,3.0,8.5,4.6,5.4,206.3,19666,12359,319
Challenger,53,690,2.69,4.0,5.0,9.4,156.9,14173,9854,195
Grandmaster,57,129,3.88,1.5,4.1,14.3,34.0,5742,7184,4
Grandmaster,54,161,3.76,7.8,3.9,6.7,179.5,20897,11420,117
Grandmaster,56,180,2.96,6.1,3.8,5.2,209.0,17109,11772,100
