Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Grandmaster,50,706,2.52,9.4,6.4,6.8,175.7,24270,12790,881
Grandmaster,57,479,4.95,4.9,3.2,10.9,146.5,12733,9842,162
Grandmaster,67,52,3.37,7.0,3.8,5.7,179.8,17494,10859,68
Grandmaster,54,246,3.59,5.2,4.0,9.3,131.2,12334,9780,91
Grandmaster,53,690,2.69,4.0,5.0,9.4,156.9,14173,9854,195
Grandmaster,65,34,2.82,8.7,5.0,5.5,190.1,20831,12681,38
Grandmaster,61,124,2.94,5.5,3.9,6.0,201.2,21444,11303,63
Grandmaster,58,174,2.63,6.1,4.9,6.6,184.7,19570,11089,118
Unranked,65,101,3.8,6.7,4.0,8.6,192.5,17336,11582,85
Grandmaster,59,133,3.03,3.9,5.2,11.7,131.5,13687,9221,16
Grandmaster,64,102,2.6,5.4,4.8,7.0,192.4,20132,10979,68
Grandmaster,58,509,3.41,7.7,4.7,8.3,204.2,21320,12416,637
Grandmaster,59,294,2.0,5.0,6.0,7.1,167.6,21751,10492,113
Grandmaster,58,238,2.84,9.8,5.6,6.1,164.3,19415,11999,289
Grandmaster,53,102,2.41,5.7,4.2,4.5,180.6,16385,10793,68
Grandmaster,60,58,2.36,6.8,4.9,4.8,233.6,26046,13215,56
Grandmaster,57,44,3.01,5.8,3.6,4.9,218.4,15633,11994,35
Grandmaster,58,247,2.7,5.9,4.8,7.0,200.7,17086,11680,215
Grandmaster,67,51,3.48,2.1,4.8,14.7,23.9,6933,7432,2
Grandmaster,60,313,4.11,2.1,4.3,15.4,15.7,8986,7633,19
Grandmaster,58,88,3.78,7.4,3.9,7.3,131.3,15695,9840,73
Grandmaster,56,73,1.84,6.8,6.6,5.4,233.4,20097,12724,57
Grandmaster,56,166,2.7,8.8,5.5,6.0,205.0,19246,12498,223
Grandmaster,56,443,2.52,3.0,6.1,12.5,34.5,9025,7658,48
Grandmaster,61,132,3.01,4.6,4.6,9.3,193.4,15518,11727,43
Unranked,55,264,2.04,5.4,7.2,9.3,35.3,8993,9684,148
Grandmaster,53,567,2.06,7.1,6.3,5.8,214.9,18677,12446,584
Unranked,60,74,3.01,1.5,5.1,13.8,35.5,5773,7288,5
Grandmaster,58,83,3.74,2.6,3.8,11.6,100.0,12087,8868,9
Grandmaster,62,73,2.06,5.4,5.4,5.7,194.5,21334,11785,48
Grandmaster,57,274,3.74,1.7,4.2,14.1,18.7,7431,7469,7
Grandmaster,53,113,2.33,5.9,5.5,7.0,198.7,23550,11558,89
Grandmaster,59,232,3.06,7.0,4.1,5.4,171.0,15264,11003,301
Grandmaster,48,109,2.57,5.5,4.5,6.0,196.6,20403,10856,99
Grandmaster,55,85,3.59,1.4,4.5,14.8,33.5,5985,7615,2
Grandmaster,64,428,2.19,7.7,5.6,4.6,188.7,20519,12132,395
Grandmaster,58,115,3.39,6.7,4.3,7.9,215.4,17302,12128,107
Grandmaster,58,83,2.34,6.3,4.8,5.0,213.8,18007,11938,53
Grandmaster,68,53,2.72,7.3,5.2,6.8,223.2,25155,12826,69
Grandmaster,57,161,2.81,5.3,4.0,5.9,173.0,16026,10755,88
Grandmaster,54,240,3.11,2.0,4.4,11.5,29.4,6771,6780,14
Grandmaster,60,247,3.64,2.0,4.4,14.2,24.4,8753,7646,20
Grandmaster,56,89,2.25,5.6,5.1,5.8,208.4,18353,11330,61
Grandmaster,60,62,4.07,6.7,3.8,8.6,195.2,18137,11535,33
Grandmaster,57,243,2.25,8.3,6.0,5.3,183.2,18832,12489,294
Grandmaster,55,205,3.07,8.1,4.9,7.0,168.8,17186,11347,240
Grandmaster,49,94,3.85,8.0,3.9,7.1,144.1,14764,10850,99
Grandmaster,53,471,1.7,5.6,6.4,5.2,177.1,19744,11051,273
Grandmaster,60,116,2.81,9.9,6.3,7.9,69.5,14671,12089,180
Grandmaster,53,66,2.38,7.1,5.3,5.6,190.9,17671,11830,59
Grandmaster,73,45,3.85,16.7,6.0,6.5,144.9,31631,13124,169
Unranked,59,121,5.11,4.1,2.5,8.6,193.5,13465,11179,40
Grandmaster,58,251,2.57,8.7,5.6,5.5,158.2,19578,11006,240
Grandmaster,46,81,2.7,7.3,5.0,6.2,196.4,23403,11743,96
Grandmaster,49,106,3.13,1.9,4.7,12.9,34.7,7010,6991,4
Grandmaster,56,77,3.11,9.5,5.2,6.5,169.9,19582,12014,59
Grandmaster,65,114,3.88,7.6,4.5,9.8,190.1,18190,12251,117
Grandmaster,61,93,4.23,9.8,4.2,7.8,148.5,17592,11611,133
Unranked,62,273,4.0,2.0,4.2,15.0,34.5,6893,7627,16
Grandmaster,49,43,1.63,5.8,6.7,5.1,176.9,19759,11759,30
Grandmaster,57,252,2.58,1.7,6.2,14.2,30.9,7298,7096,10
Grandmaster,52,403,2.46,3.6,4.5,7.6,179.8,15571,10344,85
Grandmaster,56,508,3.59,5.6,3.6,7.3,177.3,21682,11072,263
Grandmaster,54,749,3.06,7.7,5.1,7.9,131.8,16421,10665,489
Grandmaster,60,116,3.87,8.0,4.2,8.1,142.3,14457,10651,105
Unranked,62,47,4.6,9.8,3.5,6.5,187.3,21360,12650,60
Grandmaster,60,55,2.56,1.7,5.8,13.1,26.3,6434,6734,0
Grandmaster,57,166,2.05,8.0,6.0,4.3,183.9,21050,12161,191
Grandmaster,58,291,2.37,6.8,5.2,5.7,212.1,17203,12224,320
Grandmaster,53,103,3.56,2.1,4.8,14.9,17.5,6178,8033,8
Grandmaster,60,121,3.02,6.2,4.4,6.9,181.5,19657,10812,115
Grandmaster,54,837,1.84,6.3,6.0,4.7,201.0,15478,11642,709
Grandmaster,57,398,2.47,6.1,4.5,5.1,204.4,16162,11760,339
Grandmaster,55,274,3.44,7.2,4.3,7.7,158.4,18667,10474,208
Grandmaster,58,702,2.7,8.9,5.4,5.6,168.5,20797,11511,674
Grandmaster,58,164,2.99,6.6,3.5,4.0,210.5,14875,11793,193
Grandmaster,65,166,3.32,8.2,5.1,8.7,152.7,22615,11158,113
Grandmaster,53,478,2.06,7.1,6.0,5.3,178.2,17648,11624,515
Grandmaster,61,137,3.98,1.9,3.9,13.7,38.6,7883,7796,3
Grandmaster,52,204,3.45,6.9,4.2,7.7,150.5,14172,10945,160
Master,56,141,3.78,5.3,3.5,8.1,157.0,13388,10057,67
Master,66,79,3.98,3.4,3.8,11.8,125.9,12282,8798,18
Grandmaster,57,218,2.39,5.4,4.8,6.0,170.4,15498,10890,85
Grandmaster,53,217,2.42,2.1,6.3,13.2,34.1,8178,7243,12
Grandmaster,60,52,2.87,6.6,4.6,6.6,171.4,17055,10488,36
Grandmaster,65,68,2.37,7.6,5.8,6.1,193.0,20360,11737,112
Grandmaster,52,1639,2.34,6.3,5.3,6.2,164.8,17893,10788,899
Master,68,124,2.96,9.1,5.0,5.6,170.2,20487,11516,180
Master,52,222,1.77,5.9,6.2,5.0,190.2,20245,11588,113
Grandmaster,65,106,3.13,8.0,4.7,6.7,182.1,20758,12198,122
Grandmaster,57,206,2.67,4.3,3.8,5.8,172.6,15261,10120,82
Grandmaster,60,97,2.9,7.3,4.5,5.6,200.0,15649,11750,106
Grandmaster,55,80,2.75,6.1,4.8,7.1,216.4,20826,11760,43
Master,53,948,2.96,2.7,5.5,13.6,21.9,9703,7966,116
Master,52,134,3.34,1.2,4.3,13.1,32.1,4786,6932,3
Grandmaster,51,305,2.17,6.1,5.2,5.2,207.4,18888,11713,220
Grandmaster,54,786,1.99,7.3,5.5,3.7,176.0,17453,11381,1037
Master,57,61,2.54,7.6,5.3,5.8,203.8,17672,12258,76
Master,54,195,3.42,2.3,5.1,15.1,34.9,6576,7786,12
Master,56,126,3.63,7.3,4.0,7.0,169.8,20110,11145,76
Master,53,79,3.06,1.8,4.6,12.4,17.2,8069,7232,8
Grandmaster,60,168,2.47,8.1,7.3,10.0,181.0,26811,11942,181
Master,54,204,2.74,8.1,5.1,5.8,205.1,17776,12068,399
Grandmaster,53,407,3.58,8.8,4.8,8.5,142.8,18464,11313,285
Grandmaster,55,523,2.55,6.1,5.6,8.1,149.9,16018,10511,264
Master,69,142,3.73,2.6,4.9,15.7,16.5,10384,7984,15
Master,59,284,3.7,8.7,4.1,6.7,150.5,15317,11392,262
Grandmaster,59,187,2.31,7.1,5.2,4.9,219.1,18334,12140,208
Grandmaster,57,279,2.85,6.9,5.4,8.5,218.0,19400,12687,265
Unranked,57,47,3.04,2.9,6.2,16.0,12.0,8093,8176,7
Unranked,61,95,2.06,10.7,9.2,8.3,147.6,27035,11427,145
Grandmaster,61,211,3.3,5.8,3.7,6.4,195.7,19330,11065,110
Grandmaster,57,175,3.14,4.4,3.3,5.8,188.2,17156,10745,85
Master,59,251,2.2,7.7,5.7,4.8,190.1,19598,12306,226
Unranked,53,310,2.57,6.4,5.1,6.8,188.8,22151,11506,300
Grandmaster,61,191,4.35,3.2,3.0,9.7,155.0,11768,9308,26
Grandmaster,52,904,2.61,9.3,6.0,6.5,165.2,16887,12286,775
Unranked,61,112,2.36,7.1,5.6,6.2,209.6,20919,12483,143
Grandmaster,60,262,3.4,1.8,4.7,14.2,34.2,5841,7404,13
Grandmaster,68,104,3.58,10.3,5.5,9.5,194.7,27303,12939,144
Grandmaster,53,154,3.47,1.7,4.4,13.7,32.7,5862,7216,5
Master,59,65,3.61,6.4,3.4,5.8,228.0,17813,11872,42
Grandmaster,57,400,3.04,7.0,5.1,8.6,142.4,16674,10769,183
Grandmaster,59,103,3.27,3.0,3.6,8.7,148.9,13346,9561,17
Grandmaster,59,342,3.31,6.7,4.5,8.2,157.1,19337,10405,278
Unranked,65,166,2.55,7.6,7.0,10.3,176.9,27152,11630,174
Master,56,135,3.29,6.6,4.7,8.8,145.3,15030,10525,95
Master,60,145,2.22,4.6,5.6,7.8,133.7,15649,9506,34
Master,67,48,3.38,8.0,4.4,7.0,162.1,15884,11641,56
Grandmaster,58,205,2.43,7.1,5.3,5.7,166.1,18456,11127,189
Unranked,51,182,2.38,6.1,4.4,4.4,172.7,18135,10575,132
Master,58,90,2.41,7.3,7.4,10.5,215.1,29244,12724,93
Master,54,668,2.58,0.8,5.7,13.9,8.1,4642,6860,13
Master,63,201,4.03,1.7,3.9,14.2,30.0,5098,7051,8
Grandmaster,65,164,5.81,1.2,3.0,16.0,6.6,5339,7235,4
Master,52,136,2.39,9.1,7.1,7.9,168.3,20687,12219,154
Master,52,136,2.4,9.2,6.2,5.7,220.6,21529,12989,224
Master,57,108,3.98,6.3,3.4,7.0,198.4,18340,11462,64
Grandmaster,53,337,2.37,8.9,6.9,7.3,171.1,19510,12100,353
Master,57,138,2.63,4.8,4.7,7.6,207.8,21982,11744,53
Master,74,258,4.56,5.7,5.0,17.0,15.1,17156,9708,84
Master,56,488,3.04,8.3,4.9,6.8,167.2,19627,11755,571
Master,51,43,3.86,7.6,3.5,6.0,176.3,19605,11323,28
Master,62,271,2.55,6.7,5.5,7.1,194.8,21601,12834,164
Master,57,110,4.13,1.5,3.7,13.8,28.5,5140,7101,4
Master,53,129,3.06,7.0,4.2,5.9,195.6,17138,11553,133
Master,56,771,2.88,7.1,4.5,5.8,168.6,17897,11256,685
Master,63,102,5.59,2.0,3.2,16.2,5.0,9022,7489,9
Master,57,595,3.18,6.5,3.8,5.8,173.8,17114,10524,532
Master,52,126,1.6,6.5,7.2,5.0,196.5,18854,11796,133
Master,55,1025,2.09,5.3,4.7,4.6,193.2,14155,11020,624
Unranked,60,204,3.93,5.1,3.7,9.5,189.5,15557,11614,82
Master,59,144,3.45,1.8,4.6,13.9,26.8,6733,7392,7
Master,56,50,2.9,6.7,3.9,4.5,173.0,16840,10939,34
Master,54,518,2.32,6.0,4.6,4.6,199.7,14245,11323,379
Master,61,146,2.72,9.8,5.8,6.1,203.8,22818,13083,237
Master,56,25,3.06,8.7,4.8,5.9,202.6,19391,12515,28
Master,57,88,2.82,4.7,4.6,8.2,141.2,17499,9682,32
Master,56,177,2.33,5.8,4.7,5.2,209.5,17796,11806,140
Master,56,356,3.14,10.0,5.2,6.4,205.2,20579,13362,682
Master,57,127,1.9,6.1,5.7,4.9,190.8,21208,11302,79
Master,65,192,4.1,9.8,4.1,7.1,126.1,16119,10759,158
Master,53,96,3.11,7.7,4.5,6.3,212.3,25013,12444,131
Master,57,46,3.61,7.8,3.9,6.1,182.1,20068,11297,56
Master,55,168,3.2,7.6,4.0,5.2,198.7,18425,12255,190
Master,60,178,4.77,2.1,3.5,14.4,23.3,9223,7994,10
Master,78,86,3.79,13.1,4.6,4.5,180.9,20904,13546,302
Master,55,691,3.39,1.8,4.8,14.6,35.8,7466,7574,27
Master,57,224,3.65,8.4,4.7,8.8,147.8,16468,11543,217
Master,58,38,3.31,8.5,4.7,7.2,155.1,17406,11609,26
Master,58,159,3.41,5.1,4.6,10.7,163.2,15210,10265,60
Master,56,462,4.32,7.5,3.0,5.5,212.9,14666,12414,558
Master,58,221,2.77,1.8,5.4,13.1,31.4,7130,7039,14
Master,57,239,3.81,9.6,4.3,6.9,173.9,20038,11927,331
Master,56,270,2.77,1.8,5.4,13.3,34.2,5823,7203,17
Master,65,158,4.06,10.1,3.8,5.4,180.5,20764,12174,187
Master,56,36,3.02,2.0,4.4,11.3,30.5,7019,6959,1
Master,59,354,2.6,3.8,5.6,10.7,50.3,20718,9124,78
Master,59,167,3.3,6.6,3.7,5.6,186.1,15844,11554,153
Unranked,58,183,4.35,6.9,3.5,8.3,198.0,16481,11670,154
Master,60,30,3.02,3.2,6.5,16.4,9.4,8680,8238,3
Master,55,178,2.67,7.1,5.1,6.6,202.9,17517,11935,177
Master,57,81,3.28,7.6,4.6,7.6,159.6,16672,10941,80
Master,52,207,1.96,4.7,5.5,6.0,174.3,18063,10761,87
Master,63,142,2.67,2.7,6.2,14.0,28.3,8850,7577,9
Unranked,58,407,3.95,4.2,4.2,12.5,136.1,11456,9910,126
Master,52,1200,3.24,2.2,4.8,13.3,20.8,7662,7792,125
Master,60,205,3.04,5.9,4.1,6.6,213.5,19835,11630,102
Master,52,1276,2.66,1.9,5.9,13.7,14.6,8073,7425,51
Master,57,234,2.77,1.5,5.7,14.4,29.4,5570,7244,10
Master,60,327,3.39,1.3,4.6,14.2,17.0,6869,7416,13
Master,58,157,2.83,1.3,5.1,13.1,29.7,4664,6957,6
Unranked,55,243,3.82,10.7,4.8,7.5,176.8,22394,12520,392
Unranked,56,127,3.85,1.7,4.3,14.7,23.4,5250,8062,10
Master,54,184,2.24,7.8,7.4,8.6,38.0,12584,11056,177
Master,55,507,2.32,9.0,6.3,5.6,176.9,21961,11868,449
Master,61,108,2.27,7.4,5.9,6.1,167.3,19147,11483,61
Master,58,282,2.16,5.5,4.6,4.6,183.0,16465,11142,167
Master,54,85,1.79,5.8,6.1,5.1,212.4,21172,12238,47
Master,52,73,2.46,8.3,6.5,7.5,160.8,18246,12281,94
Master,57,367,2.3,6.0,4.9,5.4,200.8,15243,11371,275
Unranked,64,69,2.38,4.8,5.3,7.9,164.7,19027,10541,30
Master,50,44,3.85,6.2,3.0,5.5,184.2,17464,10791,21
Master,55,208,2.57,5.4,5.5,8.9,38.1,8821,9542,137
Master,55,720,1.61,6.5,6.1,3.3,189.3,19924,11899,525
Master,55,174,2.16,4.7,5.1,6.3,167.8,17939,10560,66
Unranked,60,236,2.13,6.5,5.6,5.5,204.0,20359,12001,213
Master,52,164,3.77,5.7,3.6,7.9,208.7,16813,11545,96
Master,50,186,2.71,7.0,4.8,6.0,197.3,17572,11553,194
Master,60,290,2.01,8.8,7.3,5.9,149.9,21800,11583,275
Master,53,684,2.85,3.4,4.3,8.9,140.9,10905,9080,117
Unranked,57,180,3.35,7.5,3.7,5.0,200.6,18433,12505,151
Master,53,459,3.21,6.4,3.6,5.2,203.0,15266,11653,386
Master,55,160,2.79,4.9,4.7,8.4,185.6,22207,11195,60
Master,56,128,3.22,9.3,4.7,5.9,208.7,21096,12695,219
Master,53,591,4.93,1.8,3.4,15.1,5.7,8909,7315,35
Master,57,519,1.7,6.9,6.4,3.9,184.9,17987,11924,579
Master,66,64,4.24,7.0,3.6,8.2,173.1,14637,11779,60
Master,57,182,3.14,7.9,4.6,6.6,217.6,20152,12982,186
Master,53,53,2.37,8.2,5.7,5.4,170.7,18258,11106,57
Master,61,99,2.45,5.7,4.4,5.1,171.9,15979,10952,80
Master,60,143,3.28,4.0,4.2,9.8,165.0,14105,9771,37
Master,61,281,2.94,5.4,4.6,8.1,194.7,22174,11441,156
Master,60,415,3.41,7.7,5.6,11.3,120.6,23597,10897,440
Master,52,230,2.29,6.6,5.0,4.9,186.9,18303,11439,163
Unranked,51,35,2.93,1.8,5.1,13.0,28.7,6754,7041,0
Master,60,77,3.6,6.2,4.7,10.8,101.1,18232,10264,34
Master,56,285,3.3,3.4,4.6,11.9,41.4,15312,8467,52
Master,54,446,2.96,6.4,4.9,8.0,197.9,17006,11847,377
Master,50,56,2.43,4.8,4.5,6.1,172.7,15647,10166,32
Master,63,91,3.68,5.5,4.9,12.4,151.8,13839,11101,40
Master,58,189,2.47,8.4,5.6,5.4,190.6,19562,13029,249
Unranked,53,148,3.43,2.0,3.6,10.3,65.5,8013,7492,13
Master,50,118,3.06,7.4,4.6,6.8,155.0,15858,11017,137
Master,44,226,3.16,6.4,4.0,6.2,208.4,16078,11663,223
Unranked,65,257,4.03,7.3,3.8,7.9,167.0,17980,10979,187
Master,61,54,4.31,2.1,4.3,16.3,37.7,7335,8270,3
Master,53,1148,2.1,7.5,6.1,5.4,204.1,17853,12249,1236
Master,54,218,3.56,9.9,4.2,4.9,189.7,18700,12492,263
Master,55,1018,2.62,6.6,6.1,9.5,38.0,10598,10657,908
Master,57,201,3.37,7.8,4.7,8.0,180.7,17010,11796,259
Master,61,102,1.98,7.4,5.8,4.1,192.2,21048,11642,95
Master,66,77,2.76,13.3,7.2,6.5,173.4,29150,13860,128
Master,54,218,3.42,8.3,4.4,6.8,169.7,16321,12047,316
Master,51,210,2.67,8.1,5.1,5.5,196.7,17221,11993,258
Master,47,110,2.88,7.6,4.5,5.4,214.7,16666,12507,144
Master,50,241,2.91,2.3,5.2,12.7,46.1,11099,8153,32
Master,56,555,2.96,4.3,5.7,12.5,123.4,12560,9803,86
Master,77,43,3.31,2.2,6.5,19.3,12.6,6751,8549,6
Master,55,42,2.29,7.0,5.3,5.0,166.7,17137,10791,26
Master,52,98,3.1,7.7,4.9,7.4,163.9,16358,11813,113
Master,59,123,3.23,6.7,4.3,7.1,205.3,22962,11917,93
Master,60,265,2.33,7.3,5.9,6.5,182.8,18686,12386,266
Master,49,282,2.18,6.6,5.6,5.6,214.7,19488,12213,308
Master,58,139,3.81,8.6,4.4,8.3,145.2,16469,11430,134
Master,56,195,2.99,2.8,6.1,15.4,21.0,10051,8508,18
Master,53,241,2.68,8.1,5.6,6.9,158.2,20489,11145,227
Master,59,61,2.89,9.0,5.5,6.9,146.2,21315,10849,83
Master,51,558,1.78,6.1,5.9,4.4,201.4,15565,11786,368
Master,56,330,2.72,4.9,4.1,6.2,171.6,17815,10808,140
Master,55,204,2.03,8.3,6.5,4.8,226.8,20071,13027,246
Master,58,407,2.98,6.4,4.8,7.8,184.5,23245,11364,216
Master,57,359,4.69,9.7,3.4,6.3,159.2,20212,11879,323
Master,56,369,2.5,6.2,4.9,6.2,205.5,18715,12055,306
Master,53,788,2.86,5.5,4.7,7.9,146.0,20769,10588,354
Unranked,58,158,2.66,3.0,3.8,7.0,185.1,14815,10259,20
Master,56,489,3.87,2.3,4.2,14.0,18.5,9770,7686,38
Master,61,126,3.92,8.0,4.4,9.1,201.0,19501,12497,144
Master,62,178,3.57,10.2,4.7,6.6,177.2,23058,12706,323
Master,60,209,2.64,9.8,6.8,8.2,181.2,23846,12611,271
Master,56,182,2.42,7.7,5.6,5.9,193.0,16808,11897,183
Unranked,57,204,4.29,2.6,4.0,14.6,18.6,10751,7926,25
Master,58,249,3.11,5.8,4.5,8.1,198.9,17672,11171,153
Unranked,56,245,2.31,7.1,5.3,5.1,210.8,21550,12473,226
Master,53,1041,2.0,5.2,5.2,5.2,196.5,21784,11014,628
Master,64,130,5.54,6.5,3.3,11.5,141.7,15715,10755,93
Master,53,221,3.18,6.7,5.0,9.2,134.9,14298,10664,140
Master,49,214,2.57,7.4,5.3,6.2,203.4,17681,12023,242
Master,52,452,1.94,7.3,7.1,6.4,188.5,20294,12734,479
Master,60,328,3.57,7.6,4.3,7.7,183.7,15091,11954,247
