Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Challenger,67,63,3.01,7.6,4.6,6.3,205.6,19467,12985,73
Challenger,57,89,2.63,5.4,3.9,4.9,221.2,21487,11776,62
Challenger,58,635,2.69,7.5,5.3,6.7,190.8,18104,11852,657
Challenger,71,62,3.94,7.3,4.1,9.0,138.8,15469,11125,39
Iron 4,48,29,0.96,2.1,8.0,5.6,96.6,6170,7825,0
Unranked,10,10,1.18,0.3,1.7,1.7,70.1,1249,4960,0
Iron 4,18,28,2.59,14.9,7.5,4.5,331.8,38846,19702,53
Unranked,30,37,0.81,4.1,8.9,3.1,186.5,19665,10973,6
Unranked,24,17,0.49,0.9,4.5,1.2,65.4,1987,5835,1
Unranked,20,76,0.01,0.0,5.2,0.0,0.5,121,3154,0
Iron 4,47,43,1.35,5.1,8.0,5.7,92.7,14216,9382,17
Unranked,14,28,0.0,0.0,0.0,0.0,0.0,0,3235,0
Challenger,57,89,2.63,5.4,3.9,4.9,221.2,21487,11776,62
Challenger,53,198,2.97,7.3,4.8,6.9,146.9,15767,10777,230
Challenger,49,424,1.76,5.7,5.9,4.8,180.5,17668,11079,297
Challenger,66,165,5.29,5.7,2.5,7.5,172.9,18992,10399,79
Challenger,61,182,3.21,8.9,4.3,4.9,183.8,20226,11578,273
Challenger,53,192,3.29,6.2,4.0,7.0,178.8,19640,10886,110
Challenger,58,365,3.91,6.5,3.5,7.2,206.2,20048,11788,194
Challenger,57,718,2.65,7.8,5.5,6.8,144.2,15616,10892,393
Challenger,59,147,2.68,6.0,4.7,6.6,176.2,17342,10935,78
Challenger,60,208,3.3,1.4,4.8,14.4,29.6,5271,7098,5
Challenger,71,31,3.9,8.8,4.4,8.2,144.8,16834,11696,30
Challenger,59,171,3.21,5.8,3.9,6.8,178.6,19622,10585,75
Challenger,55,145,3.55,1.6,4.6,14.8,31.5,5813,7180,6
Unranked,60,122,4.23,7.4,3.4,6.8,201.4,18505,12242,129
Challenger,66,64,3.12,9.1,5.5,7.9,196.9,29241,12542,101
Challenger,61,372,2.68,6.3,4.1,4.6,210.9,16249,11890,287
Challenger,66,68,3.27,5.2,4.2,8.5,152.4,17943,10722,13
Challenger,57,28,2.25,11.1,9.3,9.8,208.3,33849,14093,58
Challenger,73,114,3.86,4.3,3.7,10.1,119.8,13279,8616,30
Challenger,71,186,4.04,9.3,3.9,6.5,178.6,19218,12539,339
Challenger,58,635,2.69,7.5,5.3,6.7,190.8,18104,11852,657
Challenger,58,74,3.07,8.7,5.1,7.0,168.3,19593,11725,73
Challenger,58,404,2.86,7.3,4.8,6.3,160.4,18436,11007,336
Challenger,66,165,5.29,5.7,2.5,7.5,172.9,18992,10399,79
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,58,365,3.91,6.5,3.5,7.2,206.2,20048,11788,194
Challenger,57,190,2.87,5.5,3.8,5.3,193.7,15170,11154,101
Challenger,56,154,4.41,7.1,3.8,9.4,142.1,15414,10687,107
Challenger,52,199,2.97,4.9,4.9,9.7,38.9,8151,9575,108
Challenger,56,140,3.84,7.2,3.8,7.4,167.3,19379,10918,78
Challenger,55,145,3.2,7.4,4.3,6.5,212.2,19935,12539,146
Challenger,60,405,3.12,8.1,4.5,5.9,185.4,19317,11623,477
Challenger,66,68,3.27,5.2,4.2,8.5,152.4,17943,10722,13
Challenger,56,94,3.64,2.0,5.1,16.5,17.8,8274,7807,4
Challenger,49,73,1.95,4.9,5.5,5.8,173.3,18508,10699,31
Challenger,60,137,2.76,6.7,4.8,6.6,198.0,23217,11635,159
Challenger,57,28,2.25,11.1,9.3,9.8,208.3,33849,14093,58
Challenger,66,70,2.58,5.6,4.3,5.5,234.2,24773,12649,39
Challenger,62,403,3.89,7.7,4.0,7.8,172.6,17207,11550,335
Challenger,53,107,3.11,8.2,4.3,5.2,164.9,19289,10771,152
Challenger,58,261,4.75,8.8,3.3,7.1,168.0,17012,11552,303
Challenger,59,174,3.81,7.0,4.1,8.6,152.0,15196,11098,99
Challenger,56,135,2.13,6.9,5.5,4.8,168.9,20316,11226,87
Unranked,55,66,2.47,6.4,5.2,6.3,177.9,22171,10735,64
Grandmaster,58,228,3.75,8.4,4.7,9.3,147.9,16888,11403,213
Unranked,66,29,2.71,10.1,5.9,5.8,214.7,25814,14753,62
Grandmaster,58,219,2.59,5.8,5.1,7.3,190.8,21979,11080,136
Challenger,57,225,2.66,7.2,5.0,6.0,226.8,20870,12696,279
Challenger,69,26,3.32,9.7,5.0,7.0,146.4,21840,11666,21
Challenger,50,56,1.97,5.2,6.2,7.1,235.3,23292,13901,27
Challenger,63,145,3.82,2.2,4.7,15.6,19.7,7689,7570,13
Challenger,55,74,2.85,5.8,4.4,6.7,188.9,20318,10848,51
Challenger,57,216,3.64,7.0,4.3,8.6,156.0,15162,11155,167
Challenger,57,101,2.78,7.7,5.0,6.2,225.7,22497,13070,116
Challenger,57,901,3.44,2.1,4.4,12.9,19.2,7966,7658,101
Challenger,56,54,3.29,1.6,4.8,14.3,34.9,5380,7290,3
Unranked,55,123,2.38,5.8,5.1,6.3,216.8,15511,12115,99
Challenger,49,61,3.13,7.2,4.1,5.6,201.8,17258,11609,59
Challenger,69,68,2.93,8.7,5.2,6.7,200.9,27332,12448,108
Challenger,56,123,2.29,6.7,5.3,5.4,177.9,20167,11253,80
Challenger,53,1229,3.47,5.8,3.1,4.9,218.7,18912,11382,1182
Challenger,60,114,2.65,9.0,5.8,6.4,158.0,20632,11387,161
Challenger,52,2358,2.69,7.6,5.1,6.1,172.8,18405,11510,2452
Unranked,61,82,3.74,6.6,3.9,7.9,204.2,16845,11720,75
Challenger,65,68,3.02,5.9,4.5,7.6,178.2,20880,10899,36
Challenger,50,128,2.54,7.7,5.6,6.6,182.7,23096,11542,152
Challenger,55,988,2.17,9.0,6.9,6.0,161.4,21106,11433,1972
Challenger,60,184,3.31,9.8,4.4,4.9,156.5,20992,11160,288
Challenger,49,418,2.32,6.1,5.0,5.6,199.9,16615,12100,353
Challenger,46,95,1.95,1.3,6.7,11.8,31.8,5342,6818,1
Challenger,55,108,3.87,7.2,4.0,8.1,150.1,15078,11113,83
Challenger,59,118,2.45,8.0,6.5,7.8,212.1,21377,12500,118
Grandmaster,57,122,2.96,8.4,4.6,5.2,190.8,21664,12786,130
Grandmaster,69,65,2.98,7.4,5.0,7.4,220.0,21001,12806,78
Grandmaster,53,888,2.9,3.8,4.9,10.5,135.0,11982,9330,223
Grandmaster,58,101,2.74,7.9,5.3,6.7,171.6,20559,11183,96
Unranked,64,157,3.57,2.3,5.4,16.9,25.4,7433,7927,13
Grandmaster,59,223,3.36,6.2,4.0,7.4,164.0,19373,10405,101
Grandmaster,53,139,3.14,8.1,4.9,7.2,182.7,19675,11680,115
Grandmaster,62,71,3.96,7.5,4.1,8.7,155.7,15874,11341,59
Grandmaster,58,108,4.19,7.5,3.5,7.0,173.5,20229,11172,81
Grandmaster,52,79,1.94,8.0,7.0,5.5,206.5,20364,13146,79
Grandmaster,64,110,3.5,2.6,4.2,12.1,46.3,8257,7375,12
Challenger,61,470,2.38,7.0,5.8,6.8,186.7,22160,11615,493
