Rank,WinRate,Games,Kills,Deaths,Assists,CS,Damage,Gold,MultiKills
Apex,53.0,66.0,7.1,5.3,5.6,190.9,17671.0,11830.0,59.0
Apex,57.0,470.0,5.7,5.1,4.3,184.9,17217.0,11365.0,231.0
Apex,59.0,121.0,4.1,2.5,8.6,193.5,13465.0,11179.0,40.0
Apex,54.0,250.0,5.3,4.7,6.0,173.7,16410.0,10860.0,123.0
Apex,52.0,1180.0,5.7,4.9,7.2,194.4,16279.0,11173.0,574.0
Apex,60.0,48.0,8.3,5.2,7.0,191.2,21504.0,12015.0,64.0
Apex,53.0,568.0,7.1,6.3,5.8,214.9,18676.0,12450.0,584.0
Apex,60.0,102.0,1.6,4.3,13.5,27.6,5985.0,7175.0,4.0
Apex,51.0,206.0,5.7,4.5,6.3,202.2,15284.0,11547.0,177.0
Apex,61.0,93.0,9.8,4.2,7.8,148.5,17592.0,11611.0,133.0
Apex,55.0,888.0,8.3,6.1,6.6,141.5,17399.0,10996.0,766.0
Apex,60.0,37.0,7.2,7.0,5.4,224.2,20478.0,12850.0,40.0
Apex,58.0,99.0,8.1,6.1,5.7,196.4,20055.0,12147.0,176.0
Apex,59.0,384.0,8.5,5.6,6.3,147.6,17115.0,11514.0,337.0
Apex,57.0,150.0,6.8,4.7,5.8,165.2,17899.0,10370.0,130.0
Apex,51.0,80.0,7.2,3.0,7.3,169.8,18284.0,10945.0,48.0
Apex,58.0,86.0,6.9,4.0,6.5,166.6,15226.0,11315.0,84.0
Apex,51.0,53.0,7.9,5.4,8.6,196.4,25807.0,11918.0,64.0
Apex,64.0,59.0,5.4,4.0,10.1,152.4,18262.0,10491.0,30.0
Apex,59.0,166.0,7.2,4.9,6.6,207.7,22672.0,12160.0,205.0
Apex,54.0,901.0,8.5,6.1,4.6,170.9,21341.0,11410.0,838.0
Apex,56.0,536.0,1.5,4.4,13.8,25.9,6998.0,7692.0,16.0
Apex,53.0,324.0,7.9,4.5,4.9,187.1,19118.0,11883.0,295.0
Apex,60.0,148.0,7.2,3.7,5.9,160.1,16118.0,10876.0,124.0
Apex,55.0,230.0,7.2,4.7,5.6,202.8,17147.0,12213.0,214.0
Apex,55.0,93.0,6.9,6.0,5.9,181.7,18455.0,11651.0,90.0
Apex,56.0,545.0,6.2,5.8,4.4,175.2,15276.0,10951.0,391.0
Apex,51.0,305.0,6.1,5.2,5.2,207.4,18888.0,11713.0,220.0
Apex,54.0,195.0,2.3,5.1,15.1,34.9,6576.0,7786.0,12.0
Diamond,52.0,101.0,7.0,5.8,8.7,42.6,9717.0,10600.0,79.0
Apex,50.0,62.0,1.6,5.9,11.2,32.5,6627.0,6796.0,2.0
Apex,53.0,407.0,8.8,4.8,8.5,142.8,18464.0,11313.0,285.0
Apex,52.0,155.0,6.0,3.8,4.7,177.8,13930.0,10780.0,111.0
Apex,58.0,151.0,1.5,4.1,14.2,32.7,5449.0,7436.0,3.0
Apex,60.0,101.0,9.5,4.1,7.4,164.4,18754.0,11645.0,130.0
Apex,61.0,211.0,5.8,3.7,6.4,195.7,19330.0,11065.0,110.0
Apex,52.0,476.0,1.4,4.9,13.2,29.3,4923.0,7038.0,15.0
Apex,56.0,163.0,8.6,5.3,5.9,198.1,19077.0,12337.0,251.0
Apex,61.0,137.0,1.9,3.9,13.7,38.6,7883.0,7796.0,3.0
Apex,62.0,263.0,7.9,3.7,6.2,169.7,20991.0,11066.0,191.0
Apex,59.0,51.0,6.7,4.0,6.4,197.6,22016.0,11461.0,53.0
Apex,60.0,221.0,2.5,4.4,15.1,61.9,9525.0,8698.0,20.0
Apex,64.0,118.0,5.8,4.2,8.1,197.2,22853.0,11791.0,52.0
Apex,56.0,127.0,2.0,4.6,14.5,30.5,7402.0,7403.0,3.0
Apex,58.0,174.0,6.9,4.5,5.2,215.8,16662.0,12419.0,178.0
Apex,63.0,65.0,6.6,6.0,4.4,200.9,16359.0,11143.0,42.0
Apex,53.0,489.0,1.5,5.5,13.7,30.8,5881.0,7132.0,10.0
Apex,57.0,329.0,5.9,5.5,5.5,172.8,18245.0,11003.0,190.0
Apex,62.0,241.0,2.2,4.4,15.3,15.3,5676.0,7685.0,31.0
Apex,56.0,227.0,8.0,4.4,9.0,155.8,16253.0,11719.0,189.0
Diamond,54.0,1088.0,5.0,3.8,6.9,207.4,19413.0,12257.0,537.0
Apex,71.0,38.0,7.8,4.6,7.1,186.1,18175.0,12088.0,38.0
Apex,57.0,44.0,10.6,4.8,7.5,160.2,21651.0,12097.0,60.0
Apex,55.0,528.0,6.1,4.6,4.6,199.5,14322.0,11332.0,385.0
Apex,58.0,69.0,2.1,5.2,16.0,9.3,8606.0,7631.0,6.0
Apex,60.0,164.0,7.5,5.0,5.0,191.3,17929.0,11602.0,164.0
Apex,53.0,724.0,2.2,4.7,13.3,15.9,8348.0,7502.0,94.0
Apex,58.0,171.0,8.8,5.1,6.5,171.3,22338.0,11779.0,183.0
Diamond,63.0,127.0,9.7,5.6,6.9,172.2,22584.0,11728.0,147.0
Apex,58.0,156.0,7.4,3.8,7.0,188.9,17174.0,11951.0,131.0
Apex,60.0,111.0,6.4,7.1,4.8,198.7,22010.0,12079.0,69.0
Apex,57.0,183.0,5.7,3.9,7.6,170.2,19841.0,10545.0,77.0
Apex,52.0,207.0,4.7,5.5,6.0,174.3,18063.0,10761.0,87.0
Apex,54.0,212.0,7.7,5.9,5.9,172.3,19979.0,11110.0,198.0
Apex,58.0,206.0,2.2,3.3,13.8,28.5,8039.0,7745.0,12.0
Apex,56.0,267.0,7.8,5.9,5.7,186.5,22119.0,11831.0,259.0
Apex,60.0,290.0,7.9,5.4,5.8,201.1,19112.0,12391.0,337.0
Apex,51.0,105.0,8.0,5.6,5.7,215.3,18104.0,12610.0,141.0
Apex,64.0,69.0,4.8,5.3,7.9,164.7,19027.0,10541.0,30.0
Diamond,60.0,77.0,6.2,4.7,10.8,101.1,18232.0,10264.0,34.0
Apex,56.0,104.0,6.5,5.0,5.2,196.4,17743.0,11436.0,87.0
Apex,51.0,289.0,7.8,4.9,6.8,157.6,16802.0,11230.0,280.0
Apex,67.0,58.0,2.4,3.3,12.8,23.6,11801.0,8364.0,10.0
Apex,60.0,94.0,6.7,5.0,6.1,193.9,18847.0,11441.0,106.0
Apex,60.0,561.0,7.5,5.5,6.4,212.2,24987.0,12286.0,704.0
Apex,51.0,247.0,6.4,5.5,5.2,177.9,18457.0,11149.0,136.0
Apex,63.0,126.0,1.5,5.0,15.5,33.4,5009.0,7386.0,7.0
Apex,57.0,290.0,5.9,5.2,5.6,166.1,18781.0,11228.0,200.0
Apex,63.0,38.0,6.7,4.5,5.5,159.6,18521.0,10490.0,28.0
Apex,60.0,191.0,4.6,4.2,11.9,140.2,17976.0,10734.0,92.0
Apex,56.0,61.0,7.6,5.6,8.8,155.1,20048.0,11838.0,63.0
Apex,62.0,29.0,11.9,5.8,6.4,202.5,24903.0,13581.0,57.0
Apex,63.0,174.0,6.7,5.3,9.1,203.1,24713.0,11879.0,160.0
Apex,61.0,133.0,8.7,4.9,6.2,181.5,19833.0,11660.0,295.0
Apex,53.0,1043.0,5.2,5.2,5.2,196.5,21797.0,11019.0,629.0
Diamond,67.0,69.0,9.8,3.6,5.9,164.4,16773.0,11595.0,86.0
Apex,62.0,26.0,8.9,4.7,5.7,167.0,18283.0,11668.0,57.0
Diamond,50.0,149.0,5.5,5.6,7.7,197.8,17423.0,11486.0,128.0
Diamond,57.0,68.0,10.4,7.9,5.7,216.6,28853.0,14851.0,143.0
Diamond,53.0,115.0,6.1,4.2,6.0,174.8,17501.0,11372.0,83.0
Apex,57.0,44.0,2.6,5.3,14.7,23.5,8794.0,7926.0,6.0
Diamond,59.0,182.0,4.7,4.8,10.7,67.2,23184.0,9741.0,56.0
Apex,49.0,108.0,2.0,5.4,13.8,23.0,7162.0,7343.0,5.0
Diamond,50.0,123.0,8.4,6.5,4.0,177.0,23348.0,12082.0,105.0
Diamond,50.0,6.0,6.5,4.8,5.0,238.2,21791.0,12675.0,6.0
Diamond,74.0,50.0,7.7,4.4,8.2,149.0,17135.0,11048.0,56.0
Apex,51.0,486.0,4.9,4.5,7.9,202.1,17562.0,10972.0,240.0
Apex,63.0,103.0,1.8,5.4,17.8,15.3,6615.0,7971.0,14.0
Apex,58.0,259.0,8.9,4.7,8.3,166.3,24229.0,11516.0,235.0
Apex,53.0,508.0,9.1,5.6,5.6,174.2,19641.0,11872.0,1079.0
Apex,60.0,57.0,8.0,5.2,5.7,176.5,21925.0,11834.0,56.0
Apex,57.0,157.0,4.3,4.1,6.9,162.3,16169.0,10002.0,35.0
Apex,60.0,37.0,8.4,4.1,6.8,139.9,15257.0,10400.0,38.0
Apex,56.0,302.0,9.0,4.5,6.7,161.1,17170.0,11597.0,391.0
Apex,51.0,475.0,5.4,5.4,6.4,212.3,21088.0,12800.0,225.0
Diamond,50.0,58.0,6.8,5.4,4.1,218.1,17083.0,11842.0,55.0
Apex,50.0,288.0,1.8,4.9,13.6,31.2,6138.0,7423.0,11.0
Apex,65.0,107.0,5.9,3.5,7.9,210.4,13989.0,12215.0,73.0
Apex,61.0,94.0,1.7,4.5,12.9,32.0,5634.0,7195.0,4.0
Apex,61.0,36.0,6.0,4.3,8.4,184.9,24476.0,11095.0,18.0
Apex,61.0,241.0,8.0,5.7,5.6,179.8,20154.0,12583.0,322.0
Apex,55.0,296.0,7.8,6.2,6.0,159.7,19908.0,11023.0,274.0
Apex,49.0,113.0,6.2,3.8,4.4,209.1,16806.0,11977.0,44.0
Diamond,53.0,1246.0,6.3,3.9,5.6,196.7,20233.0,11635.0,656.0
Apex,55.0,328.0,9.9,6.2,5.4,173.7,20512.0,12115.0,667.0
Apex,51.0,118.0,7.8,4.8,6.8,154.1,16567.0,10929.0,103.0
Apex,52.0,1138.0,6.4,6.0,6.8,176.9,19229.0,11538.0,605.0
Apex,54.0,688.0,6.5,5.1,5.5,172.5,18331.0,11094.0,422.0
Apex,60.0,139.0,1.9,5.1,15.7,14.8,8103.0,7765.0,12.0
Apex,51.0,168.0,7.4,4.1,5.6,159.1,17647.0,10832.0,85.0
Diamond,59.0,200.0,8.7,5.4,7.6,209.1,25151.0,13556.0,240.0
Apex,56.0,218.0,8.4,6.1,6.8,159.9,18289.0,11463.0,284.0
Apex,60.0,68.0,7.5,3.4,5.7,197.0,15006.0,11669.0,84.0
Apex,51.0,89.0,6.3,3.6,5.7,193.8,17802.0,11876.0,59.0
Apex,63.0,136.0,7.0,4.5,5.8,200.1,17282.0,12178.0,136.0
Apex,58.0,278.0,7.5,4.4,7.7,218.6,18647.0,12708.0,305.0
Apex,55.0,530.0,1.9,5.6,14.4,33.2,6771.0,7533.0,27.0
Apex,61.0,114.0,9.1,5.3,6.7,158.1,20474.0,11392.0,164.0
Apex,48.0,98.0,5.9,5.1,5.3,195.9,18878.0,11373.0,81.0
Apex,46.0,46.0,7.2,6.3,4.7,217.2,24466.0,12939.0,39.0
Apex,57.0,349.0,7.8,5.1,6.1,169.1,16527.0,11260.0,300.0
Apex,66.0,82.0,7.9,3.6,6.3,178.3,17136.0,12039.0,113.0
Apex,54.0,247.0,4.3,4.2,10.5,158.0,13442.0,10103.0,57.0
Silver,60.0,25.0,4.5,4.0,4.9,191.4,17520.0,11884.0,7.0
Apex,54.0,59.0,3.9,5.1,10.1,59.3,19028.0,8734.0,9.0
Apex,51.0,221.0,4.8,5.1,5.8,212.0,19518.0,11660.0,104.0
Diamond,51.0,82.0,8.4,4.4,6.3,151.6,14861.0,11126.0,75.0
Apex,63.0,38.0,1.3,5.3,15.9,31.8,6553.0,7586.0,0.0
Apex,51.0,163.0,10.8,5.4,5.0,169.6,21064.0,12116.0,253.0
Apex,56.0,81.0,7.8,4.5,5.5,201.2,16225.0,11991.0,97.0
Diamond,60.0,134.0,9.1,4.2,7.6,153.4,20756.0,11350.0,115.0
Apex,51.0,201.0,6.3,6.0,7.8,213.2,21146.0,11939.0,211.0
Apex,57.0,170.0,1.8,4.4,13.9,36.1,5250.0,7576.0,8.0
Apex,56.0,75.0,5.8,4.7,7.1,151.6,14696.0,10438.0,43.0
Diamond,54.0,112.0,6.2,6.7,6.0,152.5,18442.0,10515.0,42.0
Apex,52.0,166.0,1.4,5.2,12.7,32.2,4950.0,7125.0,6.0
Diamond,68.0,62.0,10.3,4.4,6.4,161.9,20424.0,11940.0,69.0
Apex,45.0,29.0,5.8,6.6,5.8,198.5,18101.0,11099.0,17.0
Apex,73.0,22.0,1.4,5.3,18.4,16.4,5539.0,7991.0,1.0
Apex,60.0,52.0,10.1,6.9,5.9,143.8,19997.0,11245.0,70.0
Diamond,53.0,458.0,5.2,4.5,10.7,150.5,15116.0,10761.0,185.0
Diamond,67.0,33.0,6.4,5.3,9.6,189.6,24088.0,12089.0,14.0
Diamond,72.0,46.0,10.3,6.8,6.4,195.7,22442.0,13851.0,78.0
Diamond,57.0,85.0,7.0,4.9,8.3,163.2,22472.0,11341.0,53.0
Diamond,56.0,930.0,7.7,5.2,5.5,178.9,17954.0,11567.0,1463.0
Apex,48.0,118.0,6.6,5.8,5.8,169.9,18262.0,10919.0,80.0
Apex,59.0,180.0,3.9,4.4,5.8,171.4,14637.0,10267.0,56.0
Apex,55.0,671.0,7.3,8.0,5.4,168.7,20461.0,11705.0,382.0
Diamond,65.0,23.0,6.1,4.4,4.7,174.0,15466.0,10814.0,13.0
Apex,55.0,387.0,5.5,4.6,5.0,194.8,15404.0,11276.0,265.0
Apex,60.0,79.0,3.6,5.4,14.5,40.8,16893.0,9678.0,31.0
Apex,60.0,159.0,5.7,4.1,7.3,141.8,16492.0,10019.0,66.0
Apex,66.0,38.0,7.8,6.4,7.4,200.6,22697.0,12787.0,40.0
Diamond,58.0,145.0,7.6,5.2,6.2,188.3,19596.0,12886.0,174.0
Apex,59.0,201.0,5.8,4.3,5.7,183.8,16013.0,11396.0,143.0
Apex,71.0,14.0,9.0,4.3,6.9,178.6,18431.0,12536.0,15.0
Diamond,61.0,88.0,5.1,5.4,12.8,211.0,19342.0,12267.0,50.0
Apex,61.0,82.0,5.6,7.0,7.0,190.6,17929.0,11960.0,30.0
Diamond,50.0,48.0,7.2,5.4,8.9,166.4,17160.0,11484.0,34.0
Apex,58.0,118.0,2.1,5.3,15.0,30.8,6837.0,7987.0,7.0
Diamond,66.0,129.0,9.4,5.3,6.2,150.7,18812.0,11481.0,250.0
Apex,74.0,39.0,10.8,4.8,5.8,184.9,23526.0,13468.0,49.0
Apex,62.0,37.0,10.1,5.5,6.1,162.2,21310.0,11900.0,37.0
Apex,70.0,63.0,8.0,4.5,8.7,207.2,18673.0,12725.0,71.0
Diamond,68.0,97.0,5.8,4.5,9.3,208.0,21110.0,12413.0,54.0
Diamond,56.0,199.0,9.0,5.8,5.3,158.3,20868.0,11067.0,197.0
Apex,57.0,274.0,4.6,5.4,8.9,180.1,15278.0,11299.0,100.0
Apex,53.0,403.0,3.5,5.4,12.4,136.0,9767.0,9814.0,74.0
Diamond,58.0,398.0,9.5,8.4,11.5,190.6,31078.0,13195.0,513.0
Diamond,62.0,58.0,9.8,6.0,7.3,199.1,24635.0,14526.0,83.0
Apex,63.0,195.0,5.7,4.0,4.1,218.8,16458.0,12395.0,119.0
Apex,74.0,34.0,10.6,4.0,7.0,214.1,21759.0,13782.0,49.0
Apex,56.0,184.0,8.0,5.8,6.4,201.1,20450.0,12570.0,179.0
Apex,56.0,509.0,5.1,5.2,8.5,207.5,20978.0,11589.0,288.0
Apex,54.0,63.0,7.8,5.1,5.8,207.5,18443.0,11954.0,60.0
Apex,58.0,114.0,7.5,5.4,7.3,199.2,24373.0,12052.0,116.0
Diamond,62.0,293.0,7.0,3.2,6.4,217.5,17438.0,12046.0,238.0
Apex,59.0,228.0,8.1,6.5,6.3,184.7,21269.0,12743.0,312.0
Apex,68.0,88.0,1.9,3.9,20.4,5.4,8498.0,7823.0,1.0
Diamond,58.0,71.0,8.9,7.1,7.1,201.3,26711.0,12606.0,112.0
Diamond,56.0,95.0,2.5,4.2,14.4,30.7,10125.0,8094.0,4.0
Diamond,61.0,62.0,11.0,6.4,5.6,201.7,26552.0,13930.0,93.0
Apex,52.0,25.0,0.7,4.7,14.7,34.6,4356.0,7111.0,0.0
